132,1554706075425,-4.114,0.99,8.894,4-7-19 evening2
133,1554706075633,-1.047,0.698,10.008,4-7-19 evening2
134,1554706075832,0.588,0.476,9.78,4-7-19 evening2
135,1554706076037,0.497,0.506,9.634,4-7-19 evening2
136,1554706076245,0.535,0.49,9.704,4-7-19 evening2
137,1554706076443,0.534,0.496,9.702,4-7-19 evening2
138,1554706076650,0.539,0.493,9.701,4-7-19 evening2
139,1554706076857,0.535,0.493,9.707,4-7-19 evening2
140,1554706077060,0.536,0.496,9.702,4-7-19 evening2
141,1554706077263,0.536,0.498,9.704,4-7-19 evening2
142,1554706077477,0.538,0.5,9.706,4-7-19 evening2
143,1554706077671,0.54,0.497,9.708,4-7-19 evening2
144,1554706077888,0.536,0.493,9.703,4-7-19 evening2
145,1554706078076,0.54,0.497,9.701,4-7-19 evening2
146,1554706078281,0.54,0.497,9.706,4-7-19 evening2
147,1554706078492,0.541,0.494,9.699,4-7-19 evening2
148,1554706078696,0.538,0.496,9.709,4-7-19 evening2
149,1554706078907,0.542,0.494,9.706,4-7-19 evening2
150,1554706079109,0.538,0.493,9.703,4-7-19 evening2
151,1554706079309,0.537,0.493,9.698,4-7-19 evening2
152,1554706079514,0.538,0.497,9.711,4-7-19 evening2
153,1554706079713,0.541,0.499,9.701,4-7-19 evening2
154,1554706079918,0.537,0.493,9.7,4-7-19 evening2
155,1554706080134,0.543,0.495,9.699,4-7-19 evening2
156,1554706080327,0.538,0.496,9.708,4-7-19 evening2
157,1554706080527,0.538,0.497,9.698,4-7-19 evening2
158,1554706080747,0.535,0.491,9.703,4-7-19 evening2
159,1554706080952,0.539,0.496,9.705,4-7-19 evening2
160,1554706081155,0.538,0.495,9.702,4-7-19 evening2
161,1554706081351,0.532,0.494,9.704,4-7-19 evening2
162,1554706081559,0.538,0.496,9.704,4-7-19 evening2
163,1554706081767,0.539,0.491,9.703,4-7-19 evening2
164,1554706081971,0.537,0.493,9.709,4-7-19 evening2
165,1554706082164,0.537,0.493,9.698,4-7-19 evening2
166,1554706082379,0.54,0.493,9.701,4-7-19 evening2
167,1554706082578,0.533,0.493,9.698,4-7-19 evening2
168,1554706082778,0.537,0.493,9.703,4-7-19 evening2
169,1554706082989,0.538,0.491,9.701,4-7-19 evening2
170,1554706083197,0.54,0.491,9.702,4-7-19 evening2
171,1554706083401,0.539,0.495,9.701,4-7-19 evening2
172,1554706083600,0.54,0.497,9.701,4-7-19 evening2
173,1554706083801,0.54,0.494,9.706,4-7-19 evening2
174,1554706084002,0.54,0.495,9.702,4-7-19 evening2
175,1554706084219,0.534,0.498,9.704,4-7-19 evening2
176,1554706084422,0.539,0.497,9.706,4-7-19 evening2
177,1554706084615,0.538,0.496,9.701,4-7-19 evening2
178,1554706084818,0.542,0.49,9.7,4-7-19 evening2
179,1554706085035,0.539,0.493,9.705,4-7-19 evening2
180,1554706085237,0.541,0.494,9.704,4-7-19 evening2
181,1554706085429,0.54,0.492,9.707,4-7-19 evening2
182,1554706085635,0.539,0.494,9.706,4-7-19 evening2
183,1554706085844,0.539,0.496,9.701,4-7-19 evening2
184,1554706086055,0.54,0.496,9.697,4-7-19 evening2
185,1554706086257,0.535,0.493,9.706,4-7-19 evening2
186,1554706086460,0.542,0.498,9.7,4-7-19 evening2
187,1554706086669,0.541,0.496,9.705,4-7-19 evening2
188,1554706086869,0.537,0.495,9.707,4-7-19 evening2
189,1554706087069,0.539,0.495,9.705,4-7-19 evening2
190,1554706087281,0.54,0.497,9.697,4-7-19 evening2
191,1554706087486,0.538,0.496,9.701,4-7-19 evening2
192,1554706087685,0.537,0.499,9.706,4-7-19 evening2
193,1554706087881,0.54,0.5,9.707,4-7-19 evening2
194,1554706088096,0.539,0.498,9.704,4-7-19 evening2
195,1554706088302,0.537,0.491,9.7,4-7-19 evening2
196,1554706088507,0.538,0.496,9.699,4-7-19 evening2
197,1554706088703,0.54,0.498,9.7,4-7-19 evening2
198,1554706088906,0.541,0.495,9.706,4-7-19 evening2
199,1554706089107,0.539,0.499,9.702,4-7-19 evening2
200,1554706089323,0.536,0.494,9.7,4-7-19 evening2
201,1554706089516,0.538,0.498,9.708,4-7-19 evening2
202,1554706089717,0.539,0.497,9.709,4-7-19 evening2
203,1554706089925,0.539,0.494,9.704,4-7-19 evening2
204,1554706090123,0.537,0.498,9.706,4-7-19 evening2
205,1554706090331,0.541,0.493,9.706,4-7-19 evening2
206,1554706090536,0.544,0.496,9.703,4-7-19 evening2
207,1554706090751,0.54,0.494,9.703,4-7-19 evening2
208,1554706090941,0.535,0.494,9.714,4-7-19 evening2
209,1554706091145,0.542,0.501,9.703,4-7-19 evening2
210,1554706091349,0.537,0.496,9.715,4-7-19 evening2
